Id,Part No.,Substitute Part No.,Car Brand,Category (EN),Category (TH),Subcategory (EN),Subcategory (TH),Engine Model,Name,Name (th),Details,Details (th),Remark,Remark (th)
WPA-054,1-13650-159-1,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6SD1-TCS,"6SD1-TCS, DECA 320",DECA 320,,ขนาดท่อ ,,
WPA-078,,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,,6SD1 เครื่องเก่า/นอก,6SD1,,ขนาดท่อ,,
WPA-083,8-98042-848-2,,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,"6HF1, 6HK1","6HK1, 6HF1, DECA 240","6HK1, 6HF1, DECA 240",,,,
WPA-093,1-87310-954-0,1-87310-991-0,ISUZU,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6UZ1,"DECA 360, 6UZ1","DECA 360, 6UZ1",,,,
WPA-055,ME996861,,MITSUBISHI,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,4D31,"CANTER 4D31, FE444","CANTER 4D31, FE444",,,,
WPA-056,ME996867,,MITSUBISHI,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,4D32,"CANTER 4D32, 4D34","CANTER 4D32, 4D34",,,,
WPA-057,31645-02012,,MITSUBISHI,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,4DR5,CANTER 4DR5,CANTER 4DR5,,,,
WPA-058,,,MITSUBISHI,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,4DR5,CANTER 4DR5 (หน้าแปลนใหญ่),CANTER 4DR5 (MODEL 2),,,,
WPA-059,ME075047,,MITSUBISHI,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6D15,FUSO 6D15,FUSO 6D15,,,,
WPA-060,ME075049,,MITSUBISHI,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6D16,"FUSO FN527, 6D16","FUSO FN527, 6D16",,,,
WPA-061,ME075156,,MITSUBISHI,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6D16 TURBO,"FUSO FN527 TURBO, 6D16 TURBO","FUSO FN527 TURBO, 6D16 TURBO",,,,
WPA-062,ME075258,,MITSUBISHI,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6D16 EURO,"FUSO FN528 EURO, FN627","FUSO FN528 EURO, FN627",,,,
WPA-063,ME075293,,MITSUBISHI,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6D17,FUSO 6D17 (ใช้น้ำมันเลี้ยง),FUSO 6D17 (OIL TYPE),,,,
WPA-064,,,MITSUBISHI,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6D17,FUSO 6D17 (ใช้จาระบี),FUSO 6D17 (MODEL 2),,,,
WPA-065,ME088301,,MITSUBISHI,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6D31,FUSO 6D31,FUSO 6D31,,,,
WPA-066,ME088537,,MITSUBISHI,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6D31T,FUSO 6D31T (KOMATSU SK200),FUSO 6D31T (KOMATSU SK200),,,KOMATSU SK200,KOMATSU SK200
WPA-092,,,MITSUBISHI,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,6D16 CRANE,FUSO CRANE,FUSO รถเครน,,,,
WPA-098,ME993933,,MITSUBISHI,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,"6M60T, 6M61","FUSO 6M60T, 6M61","FUSO 6M60T, 6M61",,,,
WPA-067,21010-Z5425,,NISSAN,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,FD6,"FD6, CP180","FD6, CP180",,,,รูยึดเสื้อ 9 รู
WPA-068,21008-96072,,NISSAN,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,"PD6, PE6, PE6-T","PD, PE, CW30, CW430","PD, PE, CW30, CW430",,,,
WPA-069,21010-96264,,NISSAN,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,PF6-T,"PF6-T, CWM454 (Model 1)","PF6-T, CWM454 (แบบที่ 1)",,,,
WPA-099,21010-96211,21010-96125,NISSAN,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,PF6-T,"PF6-T, CWM454 (Model 2)","PF6-T, CWM454 (แบบที่ 2)",,,,
WPA-070,21008-96165,,NISSAN,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,PF6-T,"PF6-T, CWM454 (Model 3)","PF6-T, CWM454 (แบบที่ 3)","TADANO, Shaft 15 mm.",,,
WPA-081,21010-Z5525,,NISSAN,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,FE6T,"FE6T, PKB214","FE6T, PKB214",,,,
WPA-091,,,NISSAN,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,FE6,FE6,FE6,,,,รูยึดเสื้อ 7 รู
WPA-071,,,TOYOTA,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,2J (Fork Lift),2Jรถยก(หน้าแปลนเล็ก),2Jรถยก(หน้าแปลนเล็ก),,,,
WPA-072,,,TOYOTA,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,2J (Fork Lift),2Jรถยก(หน้าแปลนใหญ่),2Jรถยก(หน้าแปลนใหญ่),,,,
WPA-073,,,TOYOTA,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,2J (Air Con),"2Jเครื่องแอร์,รถทัวร์","2Jเครื่องแอร์,รถทัวร์",,,,
WPA-074,16100-59076,,TOYOTA,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,11B,11B,11B,,,,
WPA-075,16100-59145,,TOYOTA,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,13B,13B,13B,,,,
WPA-076,16100-59166,,TOYOTA,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,14B,14B,14B,,,,
WPA-077,16100-59165,,TOYOTA,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,15B,15B,15B,,,,
WPA-094,,,DAEWOO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Assy,ปั๊มน้ำ,,DAEWOO,DAEWOO,,,,
WPK-001,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,"DM100, DQ100","KM350, KM500, DM100 - DQ100","KM350, KM500, DM100, DQ100",,,,
WPK-002,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,"DM100, DQ100","KM350, DM100 (แกนยาว)",,,,,
WPK-003,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,EC100,"KL, EC100",,,,,
WPK-004,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,EC100,"KL, EC100 (แกนยาว)",,,,,
WPK-005,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,EH100,"KT920, EH100 (แกนเล็ก)",,,,,
WPK-006,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,EH300,"KT920, EH300 (แกนใหญ่)",,,,,
WPK-007,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,EH700,"KT725, EH700",,,,,
WPK-008,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,W04D,"W04D, KM777, KM505",,,,,
WPK-009,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,W06D,W06D (ใช้หน้าแปลน),,,,,
WPK-010,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,W06E,W06E (ไม่ใช้หน้าแปลน),,,,,
WPK-011,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,H06C,H06C (ไม่ใช้หน้าแปลน),,,,,
WPK-012,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,H07C,"H07C, F18 (ใช้หน้าแปลน)",,,,,
WPK-013,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,H07D,H07D,,,,,
WPK-014,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,J05C,"J05C, FC4J",,,,,
WPK-102,04016-1068,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,"J08C, J08C-T","J08C, FM1J",,,,,
WPK-016,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,,RU1J,,,,,
WPK-017,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,K13C,K13C,,,,,
WPK-018,04016-1036,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,K13D,"K13D, FM2K",,,,,
WPK-019,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,EK100,EK100 ขันเก่า,,,,,
WPK-020,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,EK100,EK100 ขันใหม่,,,,,
WPK-021,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,EL100,EL100,,,,,
WPK-022,04016-1032,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,"EM100, M10C","EM100, FM227",,,,,
WPK-023,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,EM100,EM100 รุ่นขัน,,,,,
WPK-024,04016-1046,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,M10C,"M10C, FM3M",,,,,
WPK-025,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,P09C,"EP100, PO9C",,,,,
WPK-026,04016-1066,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,P11C-TH,"P11C-TH, FM2PK",,,,,
WPK-103,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,P11C-TH,"P11C-TH, FM2PK (เฟือง 23 ฟัน)",,,,,
WPK-093,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,EF550,EF550 รุ่นอัด,,,,,
WPK-027,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,EF750,"EF550, 750 รุ่นขัน",,,,,
WPK-028,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,EF750,EF750 ไม่พร้อมเฟือง,,,,,
WPK-087,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,J08C-T (Common Rail),"J08C-T, J08E, J05E",,,,,
WPK-092,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,A09C,"A09C, FM1A",,,,,
WPK-094,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,W04D-T,"W04D-TN, DUTRO, WU41, WU42",,,,,
WPK-095,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,"P11C-UV, P11C-VU","P11C-UV, FM2PK",,,,,
WPK-104,,,HINO,Engine Group,หมวดเครื่องยนต์,Coolant Pump Repair Kit,ชุดซ่อมปั๊มน้ำ,N04C,"N04C, XZU",,,,,
