Id,Part No.,Substitute Part No.,Car Brand,Category (EN),Category (TH),Subcategory,Engine Model,Name,Name (th),Details,Details (th),Remark,Remark (th)
WPA-058,,,MITSUBISHI,Water Pump Assy,ปั๊มน้ำ,,4DR5,CANTER 4DR5 (หน้าแปลนใหญ่),CANTER 4DR5 (หน้าแปลนใหญ่),,,,
WPA-059,ME075047,,MITSUBISHI,Water Pump Assy,ปั๊มน้ำ,,6D15,FUSO 6D15,FUSO 6D15,,,,
WPA-060,ME075049,,MITSUBISHI,Water Pump Assy,ปั๊มน้ำ,,6D16,"FUSO FN527, 6D16","FUSO FN527, 6D16",,,,
WPA-061,ME075156,,MITSUBISHI,Water Pump Assy,ปั๊มน้ำ,,6D16 TURBO,"FUSO FN527 TURBO, 6D16 TURBO","FUSO FN527 TURBO, 6D16 TURBO",,,,
WPA-062,ME075258,,MITSUBISHI,Water Pump Assy,ปั๊มน้ำ,,6D16 EURO,"FUSO FN528 EURO, FN627","FUSO FN528 EURO, FN627",,,,
WPA-063,ME075293,,MITSUBISHI,Water Pump Assy,ปั๊มน้ำ,,6D17,FUSO 6D17 (ใช้น้ำมันเลี้ยง),FUSO 6D17 (ใช้น้ำมันเลี้ยง),,,,
WPA-064,,,MITSUBISHI,Water Pump Assy,ปั๊มน้ำ,,6D17,FUSO 6D17 (ใช้จาระบี),FUSO 6D17 (ใช้จาระบี),,,,
WPA-065,ME088301,,MITSUBISHI,Water Pump Assy,ปั๊มน้ำ,,6D31,FUSO 6D31,FUSO 6D31,,,,
WPA-066,ME088537,,MITSUBISHI,Water Pump Assy,ปั๊มน้ำ,,6D31T,FUSO 6D31T (KOMATSU SK200),FUSO 6D31T (KOMATSU SK200),,,,
WPA-092,,,MITSUBISHI,Water Pump Assy,ปั๊มน้ำ,,6D16 CRANE,FUSO CRANE,FUSO รถเครน,,,,
WPA-098,ME993933,,MITSUBISHI,Water Pump Assy,ปั๊มน้ำ,,"6M60T, 6M61","FUSO 6M60T, 6M61","FUSO 6M60T, 6M61",,,,
WPA-067,21010-Z5425,,NISSAN,Water Pump Assy,ปั๊มน้ำ,,FD6,"FD6, CP180","FD6, CP180 (รูเสื้อ9รู)",,,,
WPA-068,21008-96072,,NISSAN,Water Pump Assy,ปั๊มน้ำ,,"PD, PE6, PE6-T","PD, PE, CW30, CW430","PD, PE, CW30, CW430พร้อมเฟือง",,,,
WPA-069,21010-96264,,NISSAN,Water Pump Assy,ปั๊มน้ำ,,PF6,"PF6, CWM454","PF6, CWM454",,,,
,,,NISSAN,Water Pump Assy,ปั๊มน้ำ,,PF6,PF6 (Shaft 15 mm.),PF6 (แกน 15 มิล),,,,
WPA-070,21008-96165,,NISSAN,Water Pump Assy,ปั๊มน้ำ,,PF6,"PF6, TADANO (Shaft 17 mm.)","PF6, TADANO (แกน17มิล)",,,,
WPA-081,21010-Z5525,,NISSAN,Water Pump Assy,ปั๊มน้ำ,,FE6T,"FE6T, PKB214","FE6T, PKB214",,,,
WPA-091,,,NISSAN,Water Pump Assy,ปั๊มน้ำ,,FE6,FE6,FE6 (รูเสื้อ7รู),,,,
WPA-071,,,TOYOTA,Water Pump Assy,ปั๊มน้ำ,,2J (Fork Lift),2Jรถยก(หน้าแปลนเล็ก),2Jรถยก(หน้าแปลนเล็ก),,,,
WPA-072,,,TOYOTA,Water Pump Assy,ปั๊มน้ำ,,2J (Fork Lift),2Jรถยก(หน้าแปลนใหญ่),2Jรถยก(หน้าแปลนใหญ่),,,,
WPA-073,,,TOYOTA,Water Pump Assy,ปั๊มน้ำ,,2J (Air Con),"2Jเครื่องแอร์,รถทัวร์","2Jเครื่องแอร์,รถทัวร์",,,,
WPA-074,16100-59076,,TOYOTA,Water Pump Assy,ปั๊มน้ำ,,11B,11B,11B,,,,
WPA-075,16100-59145,,TOYOTA,Water Pump Assy,ปั๊มน้ำ,,13B,13B,13B,,,,
WPA-076,16100-59166,,TOYOTA,Water Pump Assy,ปั๊มน้ำ,,14B,14B,14B,,,,
WPA-077,16100-59165,,TOYOTA,Water Pump Assy,ปั๊มน้ำ,,15B,15B,15B,,,,
